Employee_ID,Gender,Age,Department,Job_Level,Years_At_Company,Monthly_Salary_INR,Avg_Weekly_Hours,Performance_Rating,Promotion_Last_2_Years,Training_Hours_Last_Year,Attrition
EMP10129,Female,40,Audit,Senior Analyst,3.5,165988,36,3,No,59,Yes
EMP10130,Female,24,Tax,Senior Analyst,12.0,120213,48,3,No,76,No
EMP10131,Male,28,Tax,Senior Analyst,3.5,62805,62,4,No,76,Yes
EMP10132,Male,40,Consulting,Senior Analyst,6.4,169525,41,2,No,46,No
EMP10133,Male,42,Consulting,Analyst,8.9,151599,52,3,No,11,Yes
EMP10134,Male,41,Tax,Senior Analyst,2.0,178775,38,4,No,52,No
EMP10135,Male,39,Consulting,Manager,3.6,99176,64,2,Yes,32,No
EMP10136,Male,33,Tax,Senior Manager,5.7,119799,58,3,No,27,Yes
EMP10137,Male,34,Audit,Analyst,1.3,123385,54,3,No,2,Yes
EMP10138,Male,30,Technology,Senior Analyst,0.9,113919,65,4,No,25,Yes
EMP10139,Male,31,Tax,Senior Analyst,8.8,163482,58,2,No,53,No
EMP10140,Female,22,Technology,Analyst,3.9,106462,41,4,Yes,39,Yes
EMP10141,Male,29,Audit,Analyst,0.7,56159,60,3,No,65,Yes
EMP10142,Female,37,Advisory,Analyst,1.8,67039,47,5,No,67,Yes
EMP10143,Female,23,Advisory,Analyst,4.8,72800,42,3,Yes,46,Yes
EMP10144,Female,44,Consulting,Analyst,2.4,65761,39,3,Yes,1,No
EMP10145,Male,26,Consulting,Senior Analyst,3.1,119626,47,2,Yes,41,No
EMP10146,Male,25,Audit,Senior Analyst,4.2,143368,63,1,No,33,No
EMP10147,Male,25,Tax,Senior Analyst,2.9,105903,54,3,Yes,20,No
EMP10148,Male,42,Consulting,Manager,2.3,143998,48,2,Yes,43,No
EMP10149,Female,35,Audit,Analyst,4.2,161885,66,3,No,1,Yes
EMP10150,Male,43,Advisory,Analyst,3.9,84894,61,3,No,58,Yes
EMP10151,Male,37,Consulting,Senior Analyst,3.0,76444,59,3,Yes,15,Yes
EMP10152,Male,29,Audit,Analyst,1.3,86748,38,2,Yes,19,No
EMP10153,Male,23,Technology,Analyst,1.6,66190,55,4,Yes,25,Yes
EMP10154,Male,40,Technology,Analyst,10.6,65318,52,5,Yes,15,Yes
EMP10155,Female,37,Consulting,Analyst,0.4,149078,49,2,Yes,69,Yes
EMP10156,Male,30,Audit,Manager,0.9,64759,58,2,No,22,Yes
EMP10157,Female,23,Tax,Analyst,2.0,41498,42,5,Yes,41,No
EMP10158,Male,38,Consulting,Senior Analyst,5.4,50989,62,1,No,36,Yes
EMP10159,Female,38,Consulting,Analyst,0.5,142035,55,5,No,71,Yes
EMP10160,Male,37,Consulting,Senior Analyst,1.0,91577,50,1,No,5,Yes
EMP10161,Male,44,Consulting,Analyst,0.2,130231,50,4,No,36,No
EMP10162,Female,23,Advisory,Senior Analyst,3.7,114900,69,3,No,21,No
EMP10163,Female,23,Consulting,Analyst,0.8,129679,51,5,No,5,Yes
EMP10164,Female,26,Advisory,Analyst,1.5,48482,43,3,No,31,Yes
EMP10165,Male,33,Technology,Senior Analyst,1.8,94212,69,4,Yes,16,Yes
EMP10166,Female,44,Consulting,Analyst,6.7,55048,63,2,Yes,37,Yes
EMP10167,Male,35,Tax,Analyst,1.6,159137,52,3,No,16,Yes
EMP10168,Male,29,Technology,Analyst,0.5,158108,46,4,No,36,Yes
EMP10169,Female,24,Consulting,Manager,2.2,60814,53,3,No,22,Yes
EMP10170,Female,34,Consulting,Analyst,9.9,172996,56,5,No,48,Yes
EMP10171,Male,25,Advisory,Senior Analyst,2.8,154493,49,3,No,60,Yes
EMP10172,Male,22,Advisory,Analyst,12.3,85204,35,4,No,48,Yes
EMP10173,Female,31,Tax,Analyst,5.5,57844,36,3,No,60,No
EMP10174,Female,29,Consulting,Analyst,0.1,106943,42,5,No,76,Yes
EMP10175,Female,44,Technology,Manager,3.2,46518,56,5,No,31,Yes
EMP10176,Male,23,Audit,Analyst,1.0,173131,59,3,No,62,Yes
EMP10177,Male,29,Audit,Analyst,2.5,48052,36,4,Yes,6,No
EMP10178,Male,23,Advisory,Analyst,1.0,94803,43,4,No,21,No
EMP10179,Male,22,Consulting,Analyst,1.3,96524,43,3,Yes,5,No
EMP10180,Male,32,Audit,Analyst,7.7,114572,47,4,Yes,60,No
EMP10181,Male,30,Consulting,Senior Analyst,0.7,164752,40,2,No,13,Yes
EMP10182,Female,29,Consulting,Analyst,6.2,92021,64,4,Yes,15,No
EMP10183,Male,35,Audit,Analyst,0.1,45043,49,2,No,2,Yes
EMP10184,Male,28,Technology,Senior Analyst,0.3,27419,49,2,Yes,8,Yes
EMP10185,Male,25,Audit,Analyst,5.8,146831,41,3,No,46,No
EMP10186,Female,31,Tax,Analyst,3.0,126799,45,3,Yes,41,Yes
EMP10187,Male,22,Tax,Analyst,4.1,173212,36,4,No,41,Yes
EMP10188,Male,44,Technology,Senior Analyst,0.7,82600,44,5,Yes,22,No
EMP10189,Female,35,Audit,Analyst,2.3,141467,51,3,No,2,Yes
EMP10190,Male,26,Technology,Senior Analyst,4.0,103497,41,2,No,0,No
EMP10191,Male,28,Consulting,Analyst,3.0,133611,38,4,No,66,Yes
EMP10192,Male,25,Advisory,Senior Analyst,1.9,162559,69,3,Yes,70,Yes
EMP10193,Male,36,Advisory,Analyst,9.6,85692,65,3,Yes,2,No
EMP10194,Male,38,Tax,Senior Analyst,3.4,87112,59,3,Yes,48,Yes
EMP10195,Female,26,Consulting,Manager,7.1,41360,47,3,No,66,Yes
EMP10196,Female,25,Tax,Senior Analyst,3.9,108038,52,3,No,54,No
EMP10197,Female,36,Consulting,Analyst,4.0,28017,55,4,No,3,Yes
EMP10198,Male,33,Tax,Analyst,0.3,111261,35,3,Yes,30,No
EMP10199,Male,25,Technology,Analyst,1.3,91320,42,4,No,65,Yes
EMP10200,Male,33,Audit,Analyst,5.9,56127,55,3,No,77,No
EMP10201,Female,37,Technology,Analyst,0.8,159268,55,3,Yes,63,Yes
EMP10202,Male,38,Audit,Manager,0.4,100088,61,4,No,30,Yes
EMP10203,Male,28,Audit,Analyst,1.2,56921,53,3,No,62,Yes
EMP10204,Female,33,Audit,Analyst,0.7,29746,57,3,Yes,65,Yes
EMP10205,Male,39,Consulting,Senior Analyst,7.8,93535,69,4,Yes,30,Yes
EMP10206,Female,23,Advisory,Senior Analyst,6.1,90350,39,3,Yes,46,Yes
EMP10207,Female,44,Audit,Analyst,2.1,106131,42,4,No,21,No
EMP10208,Female,28,Audit,Manager,0.2,47063,45,3,Yes,73,Yes
EMP10209,Male,22,Technology,Analyst,3.8,142116,50,4,Yes,45,No
EMP10210,Male,28,Tax,Senior Analyst,2.9,113913,58,2,No,57,Yes
EMP10211,Male,33,Tax,Manager,10.6,103946,55,3,Yes,60,No
EMP10212,Male,33,Technology,Senior Analyst,2.5,159670,57,5,Yes,45,No
EMP10213,Male,21,Tax,Senior Analyst,1.2,35564,42,4,No,0,Yes
EMP10214,Male,26,Audit,Analyst,2.2,74725,41,2,Yes,24,Yes
EMP10215,Male,44,Consulting,Analyst,11.6,111134,36,3,No,60,No
EMP10216,Female,39,Tax,Senior Analyst,3.6,130940,64,3,No,13,Yes
EMP10217,Male,36,Consulting,Analyst,3.3,87085,47,4,No,44,Yes
EMP10218,Female,28,Advisory,Manager,0.8,42862,57,4,No,76,Yes
EMP10219,Male,21,Audit,Analyst,4.1,35265,63,4,Yes,38,No
EMP10220,Male,36,Consulting,Analyst,4.2,165777,54,3,No,65,Yes
EMP10221,Male,29,Consulting,Analyst,1.1,87471,67,4,No,31,Yes
EMP10222,Female,33,Advisory,Analyst,2.0,116080,63,3,No,57,Yes
EMP10223,Female,31,Advisory,Senior Analyst,1.0,80828,49,2,No,55,Yes
EMP10224,Female,33,Advisory,Senior Analyst,0.9,141884,57,3,No,5,Yes
EMP10225,Female,41,Audit,Senior Analyst,0.1,133007,37,5,No,66,No
EMP10226,Male,30,Audit,Manager,1.0,71104,63,4,No,49,Yes
EMP10227,Female,24,Technology,Manager,2.4,65934,42,3,No,37,Yes
EMP10228,Male,26,Advisory,Manager,0.0,139420,56,4,No,2,Yes
EMP10229,Male,27,Audit,Analyst,1.0,31050,63,5,No,4,Yes
EMP10230,Female,25,Tax,Senior Analyst,6.4,33484,36,3,No,23,Yes
EMP10231,Female,31,Audit,Analyst,2.7,87648,35,3,No,53,Yes
EMP10232,Female,33,Consulting,Analyst,2.8,84945,54,5,No,33,No
EMP10233,Female,39,Audit,Senior Analyst,1.5,56323,55,4,No,38,Yes
EMP10234,Female,43,Tax,Analyst,3.4,111332,42,3,Yes,47,Yes
EMP10235,Female,30,Advisory,Analyst,0.6,119605,61,3,No,48,Yes
EMP10236,Female,30,Audit,Analyst,5.1,35315,69,3,Yes,33,No
EMP10237,Female,31,Technology,Analyst,0.4,72968,40,2,No,79,Yes
EMP10238,Male,41,Consulting,Manager,3.2,34107,53,5,No,6,No
EMP10239,Female,27,Consulting,Analyst,1.3,80781,52,3,Yes,17,Yes
EMP10240,Female,38,Audit,Analyst,4.1,28869,35,4,No,69,Yes
EMP10241,Male,24,Consulting,Analyst,2.4,105983,59,2,No,33,Yes
EMP10242,Female,22,Audit,Analyst,1.8,32971,61,3,Yes,50,Yes
EMP10243,Male,34,Advisory,Manager,0.6,121805,41,1,No,67,No
EMP10244,Male,33,Tax,Analyst,3.0,50651,63,4,No,13,Yes
EMP10245,Female,32,Consulting,Senior Analyst,11.0,81974,65,3,Yes,68,Yes
EMP10246,Male,27,Audit,Senior Analyst,5.2,48446,53,4,No,7,No
EMP10247,Male,22,Audit,Manager,0.2,28823,40,2,No,14,Yes
EMP10248,Male,33,Audit,Senior Analyst,1.4,169526,59,3,Yes,58,Yes
EMP10249,Male,34,Consulting,Manager,7.8,160004,65,2,Yes,10,No
EMP10250,Female,37,Tax,Analyst,2.1,166292,43,3,No,19,Yes
EMP10251,Male,29,Audit,Analyst,3.3,92965,54,4,No,54,No
EMP10252,Female,37,Tax,Analyst,7.3,35510,44,3,Yes,35,No
EMP10253,Male,28,Technology,Manager,6.2,166609,61,4,Yes,13,Yes
EMP10254,Male,22,Consulting,Analyst,2.1,130935,47,3,No,57,Yes
EMP10255,Male,44,Tax,Analyst,1.7,94134,36,3,No,37,Yes
EMP10256,Male,33,Advisory,Analyst,1.2,97254,55,3,No,79,Yes
EMP10257,Female,23,Advisory,Analyst,3.8,169854,67,2,No,0,Yes
EMP10258,Female,36,Consulting,Analyst,1.0,139780,58,4,No,64,Yes
EMP10259,Male,26,Consulting,Senior Manager,0.9,150544,68,4,No,0,Yes
EMP10260,Male,39,Audit,Analyst,1.3,90587,43,2,No,59,Yes
EMP10261,Female,27,Consulting,Senior Analyst,0.6,107238,36,2,No,24,Yes
EMP10262,Male,30,Consulting,Senior Analyst,3.6,100720,64,4,No,9,Yes
EMP10263,Male,29,Advisory,Analyst,2.9,103004,56,4,No,49,Yes
EMP10264,Male,22,Audit,Analyst,2.0,47072,45,4,No,11,No
EMP10265,Female,35,Technology,Analyst,1.5,106015,51,3,No,31,Yes
EMP10266,Female,25,Tax,Analyst,7.2,97746,47,3,No,32,Yes
EMP10267,Female,42,Consulting,Senior Analyst,0.1,127260,41,5,Yes,71,Yes
EMP10268,Male,24,Audit,Analyst,4.4,162129,50,4,No,25,No
EMP10269,Male,40,Technology,Analyst,7.0,153259,67,3,No,41,No
EMP10270,Female,24,Tax,Senior Analyst,1.8,55916,35,4,Yes,49,Yes
EMP10271,Female,38,Tax,Manager,2.4,52268,45,4,No,60,Yes
EMP10272,Female,24,Consulting,Manager,8.7,48259,40,3,Yes,40,No
EMP10273,Female,37,Consulting,Manager,0.7,104400,54,3,No,56,Yes
EMP10274,Male,32,Audit,Manager,2.2,59293,69,2,Yes,1,No
EMP10275,Female,42,Audit,Analyst,1.9,136581,60,2,No,69,Yes
EMP10276,Male,37,Tax,Manager,0.9,32043,46,4,No,30,Yes
EMP10277,Female,30,Tax,Analyst,5.1,132009,64,3,Yes,22,Yes
EMP10278,Male,42,Advisory,Senior Analyst,6.9,63893,62,4,No,75,Yes
EMP10279,Female,21,Technology,Senior Analyst,4.6,51309,61,5,Yes,53,Yes
EMP10280,Female,42,Advisory,Analyst,0.7,48284,53,2,No,27,Yes
EMP10281,Female,44,Consulting,Manager,0.3,151801,39,3,No,78,Yes
EMP10282,Female,38,Consulting,Manager,2.8,138259,39,4,Yes,18,No
EMP10283,Male,38,Technology,Analyst,0.2,125804,61,4,No,75,Yes
EMP10284,Female,34,Audit,Manager,3.4,94000,62,4,Yes,47,Yes
EMP10285,Male,35,Technology,Analyst,2.3,109179,60,3,No,1,Yes
EMP10286,Male,32,Tax,Senior Analyst,3.3,90049,61,3,No,10,Yes
EMP10287,Male,24,Audit,Senior Analyst,2.7,54265,55,3,No,43,No
EMP10288,Male,23,Advisory,Senior Analyst,1.6,48880,35,5,No,58,Yes
EMP10289,Female,40,Technology,Manager,0.7,109579,62,3,No,58,Yes
EMP10290,Male,32,Advisory,Manager,1.1,156327,49,5,No,37,No
EMP10291,Male,27,Technology,Manager,2.2,157574,51,3,No,24,No
EMP10292,Male,31,Technology,Analyst,3.2,90424,60,5,Yes,20,Yes
EMP10293,Female,21,Consulting,Manager,4.5,95966,54,4,No,41,No
EMP10294,Female,26,Consulting,Analyst,4.4,92396,59,3,Yes,35,Yes
EMP10295,Female,35,Technology,Manager,10.8,96694,47,4,Yes,8,No
EMP10296,Female,35,Advisory,Analyst,1.0,161878,67,3,No,11,Yes
EMP10297,Male,39,Audit,Analyst,0.2,42106,59,3,No,9,Yes
EMP10298,Male,31,Audit,Senior Analyst,1.3,81731,42,2,No,58,Yes
EMP10299,Female,43,Advisory,Analyst,4.1,100010,39,2,No,4,Yes
EMP10300,Male,22,Technology,Analyst,1.7,57599,40,3,No,32,No
EMP10301,Male,34,Tax,Analyst,5.1,96326,57,4,No,68,No
EMP10302,Male,22,Advisory,Analyst,2.4,100706,64,4,Yes,79,Yes
EMP10303,Female,24,Audit,Analyst,8.0,34004,48,2,No,62,Yes
EMP10304,Female,37,Consulting,Analyst,8.9,140018,57,4,No,28,Yes
EMP10305,Male,23,Technology,Analyst,0.2,50792,45,4,No,17,Yes
EMP10306,Female,33,Audit,Analyst,1.8,79645,65,5,No,5,Yes
EMP10307,Female,29,Consulting,Senior Analyst,2.8,32232,40,4,No,52,Yes
EMP10308,Female,27,Audit,Analyst,0.9,79766,45,2,No,31,No
EMP10309,Female,35,Advisory,Manager,1.6,145601,47,3,No,41,Yes
EMP10310,Female,43,Technology,Manager,3.4,106588,46,4,No,46,No
EMP10311,Male,31,Consulting,Analyst,0.8,30913,36,1,No,30,Yes
EMP10312,Female,40,Consulting,Manager,2.8,137406,69,1,Yes,61,Yes
EMP10313,Male,22,Advisory,Manager,3.6,138693,51,2,Yes,55,Yes
EMP10314,Male,35,Technology,Senior Manager,0.3,118449,62,3,Yes,10,Yes
EMP10315,Female,34,Audit,Senior Analyst,2.1,35567,62,3,No,25,Yes
EMP10316,Male,40,Consulting,Analyst,0.9,63379,56,3,No,26,Yes
EMP10317,Male,42,Consulting,Senior Analyst,3.9,25319,41,2,No,56,Yes
EMP10318,Male,31,Technology,Senior Analyst,0.6,115005,49,4,Yes,26,Yes
EMP10319,Female,23,Consulting,Senior Analyst,6.7,135990,66,3,No,58,No
EMP10320,Female,37,Audit,Analyst,1.7,29791,45,3,No,61,Yes
EMP10321,Male,32,Advisory,Manager,0.7,156401,58,1,No,19,Yes
EMP10322,Female,44,Tax,Senior Manager,1.7,86032,37,2,No,2,No
EMP10323,Female,41,Audit,Analyst,1.6,113662,64,3,No,15,Yes
EMP10324,Female,35,Technology,Analyst,1.7,46300,40,2,Yes,43,Yes
EMP10325,Female,36,Audit,Analyst,2.6,100700,36,3,Yes,78,No
EMP10326,Male,25,Advisory,Manager,2.2,80609,48,4,Yes,29,No
EMP10327,Male,40,Consulting,Senior Analyst,0.5,115045,52,3,No,39,Yes
EMP10328,Female,26,Tax,Senior Analyst,0.2,86901,65,3,Yes,64,Yes
EMP10329,Female,39,Consulting,Analyst,3.9,30703,47,3,No,28,Yes
EMP10330,Male,25,Technology,Senior Analyst,2.5,88115,60,4,No,29,No
EMP10331,Male,23,Tax,Analyst,1.3,52676,46,4,No,31,Yes
EMP10332,Female,21,Advisory,Senior Analyst,5.0,146332,52,4,No,9,Yes
EMP10333,Male,26,Tax,Manager,1.5,54802,43,3,Yes,50,Yes
EMP10334,Female,35,Tax,Senior Manager,4.8,115331,55,3,No,7,No
EMP10335,Female,22,Audit,Manager,1.1,149786,58,3,No,50,Yes
EMP10336,Male,23,Consulting,Manager,0.2,90169,68,4,Yes,35,Yes
EMP10337,Male,37,Technology,Analyst,8.1,93147,42,1,No,54,No
EMP10338,Female,44,Audit,Senior Analyst,1.5,47075,67,5,No,34,Yes
EMP10339,Female,32,Tax,Senior Analyst,4.7,107015,57,4,No,35,Yes
EMP10340,Male,38,Technology,Manager,1.0,34304,47,4,No,55,Yes
EMP10341,Female,35,Audit,Analyst,3.1,154851,48,1,No,35,Yes
EMP10342,Male,32,Advisory,Analyst,6.2,145729,48,4,No,60,Yes
